Fri Jul 31 16:24:31 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9658, 'Left_wheel_dist': -2, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.14, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.50}
{'Time': 9763, 'Left_wheel_dist': -41, 'Right_wheel_dist': -28, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.58}
{'Time': 9861, 'Left_wheel_dist': -91, 'Right_wheel_dist': -74, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.65}
{'Time': 9957, 'Left_wheel_dist': -143, 'Right_wheel_dist': -124, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 10.02}
{'Time': 10062, 'Left_wheel_dist': -204, 'Right_wheel_dist': -174, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.67}
{'Time': 10160, 'Left_wheel_dist': -255, 'Right_wheel_dist': -218, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79}
{'Time': 10256, 'Left_wheel_dist': -309, 'Right_wheel_dist': -266, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.78}
{'Time': 10362, 'Left_wheel_dist': -364, 'Right_wheel_dist': -322, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.72}
{'Time': 10460, 'Left_wheel_dist': -418, 'Right_wheel_dist': -366, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.89}
{'Time': 10556, 'Left_wheel_dist': -468, 'Right_wheel_dist': -412, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.66}
{'Time': 10661, 'Left_wheel_dist': -525, 'Right_wheel_dist': -466, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.75}
{'Time': 10759, 'Left_wheel_dist': -577, 'Right_wheel_dist': -518, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.67}
{'Time': 10857, 'Left_wheel_dist': -632, 'Right_wheel_dist': -564, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.80}
{'Time': 10963, 'Left_wheel_dist': -686, 'Right_wheel_dist': -612, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.77}
{'Time': 11060, 'Left_wheel_dist': -737, 'Right_wheel_dist': -662, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.77}
{'Time': 11165, 'Left_wheel_dist': -791, 'Right_wheel_dist': -717, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.66}
{'Time': 11262, 'Left_wheel_dist': -839, 'Right_wheel_dist': -763, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.87}
{'Time': 11359, 'Left_wheel_dist': -889, 'Right_wheel_dist': -808, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.76}
{'Time': 11465, 'Left_wheel_dist': -944, 'Right_wheel_dist': -865, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.85}
{'Time': 11563, 'Left_wheel_dist': -998, 'Right_wheel_dist': -918, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.75}
{'Time': 11659, 'Left_wheel_dist': -1046, 'Right_wheel_dist': -963, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.87}
{'Time': 11764, 'Left_wheel_dist': -1103, 'Right_wheel_dist': -1011, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.71}
{'Time': 11862, 'Left_wheel_dist': -1151, 'Right_wheel_dist': -1061, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.84}
{'Time': 11958, 'Left_wheel_dist': -1203, 'Right_wheel_dist': -1112, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.87}
{'Time': 12064, 'Left_wheel_dist': -1253, 'Right_wheel_dist': -1164, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.76}
{'Time': 12162, 'Left_wheel_dist': -1308, 'Right_wheel_dist': -1210, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.89}
{'Time': 12258, 'Left_wheel_dist': -1356, 'Right_wheel_dist': -1260, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.78}
{'Time': 12363, 'Left_wheel_dist': -1413, 'Right_wheel_dist': -1317, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.74}
{'Time': 12461, 'Left_wheel_dist': -1460, 'Right_wheel_dist': -1362, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.85}
{'Time': 12558, 'Left_wheel_dist': -1511, 'Right_wheel_dist': -1406, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.84}
{'Time': 12664, 'Left_wheel_dist': -1563, 'Right_wheel_dist': -1463, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.84}
{'Time': 12762, 'Left_wheel_dist': -1613, 'Right_wheel_dist': -1511, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.73}
{'Time': 12858, 'Left_wheel_dist': -1659, 'Right_wheel_dist': -1559, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.74}
{'Time': 12963, 'Left_wheel_dist': -1713, 'Right_wheel_dist': -1609, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.78}
{'Time': 13061, 'Left_wheel_dist': -1764, 'Right_wheel_dist': -1661, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.78}
{'Time': 13158, 'Left_wheel_dist': -1812, 'Right_wheel_dist': -1713, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.81}
{'Time': 13264, 'Left_wheel_dist': -1866, 'Right_wheel_dist': -1764, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.63}
{'Time': 13362, 'Left_wheel_dist': -1914, 'Right_wheel_dist': -1807, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.76}
{'Time': 13459, 'Left_wheel_dist': -1962, 'Right_wheel_dist': -1862, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.71}
{'Time': 13564, 'Left_wheel_dist': -2014, 'Right_wheel_dist': -1916, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.77}
{'Time': 13662, 'Left_wheel_dist': -2062, 'Right_wheel_dist': -1962, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.75}
{'Time': 13759, 'Left_wheel_dist': -2112, 'Right_wheel_dist': -2010, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.69}
{'Time': 13865, 'Left_wheel_dist': -2169, 'Right_wheel_dist': -2067, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.75}
{'Time': 13962, 'Left_wheel_dist': -2215, 'Right_wheel_dist': -2115, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.74}
{'Time': 14060, 'Left_wheel_dist': -2265, 'Right_wheel_dist': -2163, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.71}
{'Time': 14166, 'Left_wheel_dist': -2315, 'Right_wheel_dist': -2211, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.68}
{'Time': 14261, 'Left_wheel_dist': -2365, 'Right_wheel_dist': -2261, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.78}
{'Time': 14367, 'Left_wheel_dist': -2416, 'Right_wheel_dist': -2313, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.80}
{'Time': 14465, 'Left_wheel_dist': -2468, 'Right_wheel_dist': -2361, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.71}
{'Time': 14561, 'Left_wheel_dist': -2516, 'Right_wheel_dist': -2411, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.76}
{'Time': 14666, 'Left_wheel_dist': -2570, 'Right_wheel_dist': -2468, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.68}
{'Time': 14764, 'Left_wheel_dist': -2616, 'Right_wheel_dist': -2518, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.80}
{'Time': 14860, 'Left_wheel_dist': -2669, 'Right_wheel_dist': -2562, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.73}
{'Time': 14966, 'Left_wheel_dist': -2719, 'Right_wheel_dist': -2616, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.73}
{'Time': 15064, 'Left_wheel_dist': -2771, 'Right_wheel_dist': -2669, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.83}
{'Time': 15160, 'Left_wheel_dist': -2815, 'Right_wheel_dist': -2714, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.71}
{'Time': 15265, 'Left_wheel_dist': -2869, 'Right_wheel_dist': -2767, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.84}
{'Time': 15363, 'Left_wheel_dist': -2917, 'Right_wheel_dist': -2819, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.74}
{'Time': 15460, 'Left_wheel_dist': -2969, 'Right_wheel_dist': -2871, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.74}
{'Time': 15566, 'Left_wheel_dist': -3020, 'Right_wheel_dist': -2921, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.76}
{'Time': 15664, 'Left_wheel_dist': -3070, 'Right_wheel_dist': -2965, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.74}
{'Time': 15760, 'Left_wheel_dist': -3113, 'Right_wheel_dist': -3015, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.86}
{'Time': 15865, 'Left_wheel_dist': -3170, 'Right_wheel_dist': -3070, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.74}
{'Time': 15963, 'Left_wheel_dist': -3214, 'Right_wheel_dist': -3116, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.75}
{'Time': 16069, 'Left_wheel_dist': -3270, 'Right_wheel_dist': -3166, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.74}
{'Time': 16166, 'Left_wheel_dist': -3318, 'Right_wheel_dist': -3218, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.68}
{'Time': 16264, 'Left_wheel_dist': -3368, 'Right_wheel_dist': -3273, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.82}
{'Time': 16362, 'Left_wheel_dist': -3416, 'Right_wheel_dist': -3316, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.83}
{'Time': 16468, 'Left_wheel_dist': -3469, 'Right_wheel_dist': -3366, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.78}
{'Time': 16564, 'Left_wheel_dist': -3515, 'Right_wheel_dist': -3416, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.79}
{'Time': 16662, 'Left_wheel_dist': -3565, 'Right_wheel_dist': -3467, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.77}
{'Time': 16769, 'Left_wheel_dist': -3615, 'Right_wheel_dist': -3517, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.78}
{'Time': 16865, 'Left_wheel_dist': -3665, 'Right_wheel_dist': -3563, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.74}
