Fri Jul 31 16:48:13 2020
Program 0: 10s Stillstand
{'Time': 9648, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.14, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.76}
{'Time': 9749, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.77}
{'Time': 9849, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.78}
{'Time': 9950, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.81}
{'Time': 10041, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.76}
{'Time': 10142, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.75}
{'Time': 10243, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.77}
{'Time': 10342, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.79}
{'Time': 10442, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.73}
{'Time': 10543, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.76}
{'Time': 10644, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.77}
{'Time': 10744, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.77}
{'Time': 10845, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.79}
{'Time': 10945, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.75}
