Fri Jul 31 17:31:23 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9649, 'Left_wheel_dist': 0, 'Right_wheel_dist': 2, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.55}
{'Time': 9754, 'Left_wheel_dist': -41, 'Right_wheel_dist': -26, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.58}
{'Time': 9851, 'Left_wheel_dist': -93, 'Right_wheel_dist': -69, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.97}
{'Time': 9948, 'Left_wheel_dist': -146, 'Right_wheel_dist': -115, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.89}
{'Time': 10053, 'Left_wheel_dist': -200, 'Right_wheel_dist': -165, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.79}
{'Time': 10150, 'Left_wheel_dist': -252, 'Right_wheel_dist': -218, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.83}
{'Time': 10248, 'Left_wheel_dist': -303, 'Right_wheel_dist': -266, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.79}
{'Time': 10354, 'Left_wheel_dist': -361, 'Right_wheel_dist': -316, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.71}
{'Time': 10451, 'Left_wheel_dist': -412, 'Right_wheel_dist': -359, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.85}
{'Time': 10556, 'Left_wheel_dist': -468, 'Right_wheel_dist': -409, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 10.10}
{'Time': 10653, 'Left_wheel_dist': -518, 'Right_wheel_dist': -453, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.62}
{'Time': 10750, 'Left_wheel_dist': -571, 'Right_wheel_dist': -499, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.94}
{'Time': 10857, 'Left_wheel_dist': -623, 'Right_wheel_dist': -551, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.71}
{'Time': 10954, 'Left_wheel_dist': -673, 'Right_wheel_dist': -606, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.67}
{'Time': 11052, 'Left_wheel_dist': -721, 'Right_wheel_dist': -654, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.84}
{'Time': 11157, 'Left_wheel_dist': -778, 'Right_wheel_dist': -704, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.76}
{'Time': 11254, 'Left_wheel_dist': -830, 'Right_wheel_dist': -747, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.81}
{'Time': 11352, 'Left_wheel_dist': -880, 'Right_wheel_dist': -800, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.85}
{'Time': 11458, 'Left_wheel_dist': -937, 'Right_wheel_dist': -850, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.77}
{'Time': 11555, 'Left_wheel_dist': -985, 'Right_wheel_dist': -896, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.80}
{'Time': 11653, 'Left_wheel_dist': -1037, 'Right_wheel_dist': -944, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.80}
{'Time': 11759, 'Left_wheel_dist': -1090, 'Right_wheel_dist': -1003, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.74}
{'Time': 11855, 'Left_wheel_dist': -1142, 'Right_wheel_dist': -1051, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.76}
{'Time': 11953, 'Left_wheel_dist': -1190, 'Right_wheel_dist': -1096, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.62}
{'Time': 12059, 'Left_wheel_dist': -1249, 'Right_wheel_dist': -1149, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.92}
{'Time': 12156, 'Left_wheel_dist': -1295, 'Right_wheel_dist': -1199, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.79}
{'Time': 12254, 'Left_wheel_dist': -1347, 'Right_wheel_dist': -1247, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.85}
