Fri Jul 31 17:32:06 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9648, 'Left_wheel_dist': 2, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.76}
{'Time': 9753, 'Left_wheel_dist': 41, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.74}
{'Time': 9848, 'Left_wheel_dist': 91, 'Right_wheel_dist': -78, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.81}
{'Time': 9954, 'Left_wheel_dist': 152, 'Right_wheel_dist': -126, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.68}
{'Time': 10051, 'Left_wheel_dist': 204, 'Right_wheel_dist': -172, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.87}
{'Time': 10148, 'Left_wheel_dist': 259, 'Right_wheel_dist': -224, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.77}
{'Time': 10253, 'Left_wheel_dist': 318, 'Right_wheel_dist': -272, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78}
{'Time': 10350, 'Left_wheel_dist': 368, 'Right_wheel_dist': -320, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.83}
{'Time': 10448, 'Left_wheel_dist': 423, 'Right_wheel_dist': -370, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.55}
{'Time': 10554, 'Left_wheel_dist': 477, 'Right_wheel_dist': -427, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.80}
{'Time': 10651, 'Left_wheel_dist': 532, 'Right_wheel_dist': -473, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.71}
{'Time': 10748, 'Left_wheel_dist': 582, 'Right_wheel_dist': -518, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.87}
{'Time': 10853, 'Left_wheel_dist': 641, 'Right_wheel_dist': -569, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.69}
{'Time': 10950, 'Left_wheel_dist': 691, 'Right_wheel_dist': -619, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.76}
{'Time': 11057, 'Left_wheel_dist': 747, 'Right_wheel_dist': -669, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.81}
