Fri Jul 31 17:32:35 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 9644, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.53}
{'Time': 9748, 'Left_wheel_dist': -39, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.53}
{'Time': 9845, 'Left_wheel_dist': -91, 'Right_wheel_dist': -76, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.77}
{'Time': 9944, 'Left_wheel_dist': -146, 'Right_wheel_dist': -124, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.96}
{'Time': 10050, 'Left_wheel_dist': -202, 'Right_wheel_dist': -178, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.59}
{'Time': 10147, 'Left_wheel_dist': -255, 'Right_wheel_dist': -231, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.76}
{'Time': 10245, 'Left_wheel_dist': -305, 'Right_wheel_dist': -276, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.79}
{'Time': 10350, 'Left_wheel_dist': -359, 'Right_wheel_dist': -324, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.74}
{'Time': 10447, 'Left_wheel_dist': -414, 'Right_wheel_dist': -372, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.84}
{'Time': 10545, 'Left_wheel_dist': -464, 'Right_wheel_dist': -423, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.74}
{'Time': 10651, 'Left_wheel_dist': -525, 'Right_wheel_dist': -471, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.87}
