Fri Jul 31 17:33:17 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 9649, 'Left_wheel_dist': 8, 'Right_wheel_dist': 6, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.80}
{'Time': 9744, 'Left_wheel_dist': -15, 'Right_wheel_dist': -13, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 10.24}
{'Time': 9848, 'Left_wheel_dist': -37, 'Right_wheel_dist': -26, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': -0.89, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.56}
{'Time': 9945, 'Left_wheel_dist': -32, 'Right_wheel_dist': -23, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.36, 'IMU_Acc_z': 9.19}
{'Time': 10050, 'Left_wheel_dist': -19, 'Right_wheel_dist': -23, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 10.44}
{'Time': 10146, 'Left_wheel_dist': -17, 'Right_wheel_dist': -28, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.68, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 10.05}
{'Time': 10250, 'Left_wheel_dist': -26, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.25}
{'Time': 10346, 'Left_wheel_dist': -28, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.82}
{'Time': 10450, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 10.13}
{'Time': 10545, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.75}
{'Time': 10649, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.80}
{'Time': 10753, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.81}
{'Time': 10847, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.80}
{'Time': 10950, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.72}
{'Time': 11045, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.76}
{'Time': 11149, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.90}
{'Time': 11251, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.72}
{'Time': 11345, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.89}
{'Time': 11448, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.69}
{'Time': 11552, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.81}
{'Time': 11645, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.85}
