Fri Jul 31 17:39:25 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.64}
{'Time': 9747, 'Left_wheel_dist': -34, 'Right_wheel_dist': -28, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.52}
{'Time': 9844, 'Left_wheel_dist': -82, 'Right_wheel_dist': -71, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.89}
{'Time': 9951, 'Left_wheel_dist': -141, 'Right_wheel_dist': -122, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.82}
{'Time': 10048, 'Left_wheel_dist': -196, 'Right_wheel_dist': -170, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.72}
{'Time': 10144, 'Left_wheel_dist': -248, 'Right_wheel_dist': -222, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.81}
{'Time': 10250, 'Left_wheel_dist': -305, 'Right_wheel_dist': -272, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.69}
{'Time': 10347, 'Left_wheel_dist': -353, 'Right_wheel_dist': -320, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.73}
{'Time': 10444, 'Left_wheel_dist': -405, 'Right_wheel_dist': -368, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.68}
{'Time': 10550, 'Left_wheel_dist': -460, 'Right_wheel_dist': -425, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.80}
{'Time': 10646, 'Left_wheel_dist': -514, 'Right_wheel_dist': -471, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.77}
{'Time': 10744, 'Left_wheel_dist': -562, 'Right_wheel_dist': -516, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.64}
{'Time': 10850, 'Left_wheel_dist': -621, 'Right_wheel_dist': -573, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.77}
{'Time': 10947, 'Left_wheel_dist': -669, 'Right_wheel_dist': -625, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.82}
{'Time': 11044, 'Left_wheel_dist': -721, 'Right_wheel_dist': -671, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.71}
{'Time': 11150, 'Left_wheel_dist': -771, 'Right_wheel_dist': -719, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.68}
