Fri Jul 31 18:50:35 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9645, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 6.15, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.57}
{'Time': 9749, 'Left_wheel_dist': -23, 'Right_wheel_dist': -15, 'IMU_roll': -0.02, 'IMU_pitch': -0.05, 'IMU_yaw': 6.15, 'IMU_Acc_x': -0.97, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 13.43}
{'Time': 9846, 'Left_wheel_dist': -61, 'Right_wheel_dist': -47, 'IMU_roll': -0.04, 'IMU_pitch': -0.05, 'IMU_yaw': 6.14, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.56, 'IMU_Acc_z': 0.90}
{'Time': 9944, 'Left_wheel_dist': -106, 'Right_wheel_dist': -91, 'IMU_roll': -0.05, 'IMU_pitch': -0.07, 'IMU_yaw': 6.13, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 12.36}
{'Time': 10050, 'Left_wheel_dist': -159, 'Right_wheel_dist': -143, 'IMU_roll': -0.04, 'IMU_pitch': -0.05, 'IMU_yaw': 6.12, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 10.10}
{'Time': 10147, 'Left_wheel_dist': -213, 'Right_wheel_dist': -189, 'IMU_roll': -0.03, 'IMU_pitch': -0.04, 'IMU_yaw': 6.11, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.20}
{'Time': 10245, 'Left_wheel_dist': -266, 'Right_wheel_dist': -233, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 6.09, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': 0.40, 'IMU_Acc_z': 6.49}
{'Time': 10350, 'Left_wheel_dist': -324, 'Right_wheel_dist': -287, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 6.09, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 5.79}
{'Time': 10447, 'Left_wheel_dist': -377, 'Right_wheel_dist': -337, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 6.07, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 10.00}
{'Time': 10545, 'Left_wheel_dist': -429, 'Right_wheel_dist': -383, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 6.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 10.34}
{'Time': 10651, 'Left_wheel_dist': -486, 'Right_wheel_dist': -433, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 6.05, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.90, 'IMU_Acc_z': 13.03}
{'Time': 10748, 'Left_wheel_dist': -536, 'Right_wheel_dist': -488, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 6.04, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 8.78}
{'Time': 10846, 'Left_wheel_dist': -590, 'Right_wheel_dist': -538, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 6.03, 'IMU_Acc_x': 1.27, 'IMU_Acc_y': 0.52, 'IMU_Acc_z': 18.82}
{'Time': 10952, 'Left_wheel_dist': -647, 'Right_wheel_dist': -588, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 6.02, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 6.44}
{'Time': 11048, 'Left_wheel_dist': -702, 'Right_wheel_dist': -634, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 6.02, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 8.65}
{'Time': 11145, 'Left_wheel_dist': -750, 'Right_wheel_dist': -682, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 6.01, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 8.53}
{'Time': 11251, 'Left_wheel_dist': -806, 'Right_wheel_dist': -737, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 6.00, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.72, 'IMU_Acc_z': -3.75}
