Fri Jul 31 18:51:15 2020
Program 0: 10s Stillstand
{'Time': 9649, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.77}
{'Time': 9750, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.92, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.79}
{'Time': 9852, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.79}
{'Time': 9945, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.92, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.82}
{'Time': 10046, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.76}
{'Time': 10148, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.79}
{'Time': 10249, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.79}
{'Time': 10350, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.73}
{'Time': 10452, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.75}
{'Time': 10546, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.75}
{'Time': 10648, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.73}
{'Time': 10749, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.76}
{'Time': 10850, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.78}
{'Time': 10951, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.72}
