Fri Jul 31 18:52:12 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9652, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 5.92, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.56}
{'Time': 9748, 'Left_wheel_dist': 21, 'Right_wheel_dist': -15, 'IMU_roll': 0.07, 'IMU_pitch': -0.01, 'IMU_yaw': 5.96, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 2.81, 'IMU_Acc_z': 14.49}
{'Time': 9853, 'Left_wheel_dist': 61, 'Right_wheel_dist': -43, 'IMU_roll': 0.11, 'IMU_pitch': 0.01, 'IMU_yaw': 6.06, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': 1.92, 'IMU_Acc_z': 6.63}
{'Time': 9950, 'Left_wheel_dist': 106, 'Right_wheel_dist': -80, 'IMU_roll': 0.09, 'IMU_pitch': 0.03, 'IMU_yaw': 6.18, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 11.91}
{'Time': 10055, 'Left_wheel_dist': 157, 'Right_wheel_dist': -128, 'IMU_roll': 0.07, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 1.47, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.20}
{'Time': 10152, 'Left_wheel_dist': 209, 'Right_wheel_dist': -172, 'IMU_roll': 0.05, 'IMU_pitch': 0.06, 'IMU_yaw': 0.21, 'IMU_Acc_x': 0.87, 'IMU_Acc_y': -0.62, 'IMU_Acc_z': 7.92}
{'Time': 10249, 'Left_wheel_dist': 257, 'Right_wheel_dist': -215, 'IMU_roll': 0.07, 'IMU_pitch': 0.10, 'IMU_yaw': 0.38, 'IMU_Acc_x': 1.48, 'IMU_Acc_y': -0.45, 'IMU_Acc_z': 13.29}
{'Time': 10355, 'Left_wheel_dist': 316, 'Right_wheel_dist': -270, 'IMU_roll': 0.06, 'IMU_pitch': 0.12, 'IMU_yaw': 0.57, 'IMU_Acc_x': 1.68, 'IMU_Acc_y': -0.79, 'IMU_Acc_z': 10.06}
{'Time': 10452, 'Left_wheel_dist': 364, 'Right_wheel_dist': -324, 'IMU_roll': 0.07, 'IMU_pitch': 0.12, 'IMU_yaw': 0.74, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 12.11}
{'Time': 10549, 'Left_wheel_dist': 418, 'Right_wheel_dist': -372, 'IMU_roll': 0.06, 'IMU_pitch': 0.12, 'IMU_yaw': 0.91, 'IMU_Acc_x': 1.54, 'IMU_Acc_y': -0.43, 'IMU_Acc_z': 7.74}
{'Time': 10654, 'Left_wheel_dist': 473, 'Right_wheel_dist': -420, 'IMU_roll': 0.06, 'IMU_pitch': 0.11, 'IMU_yaw': 1.10, 'IMU_Acc_x': 2.08, 'IMU_Acc_y': -0.99, 'IMU_Acc_z': 23.31}
{'Time': 10752, 'Left_wheel_dist': 521, 'Right_wheel_dist': -468, 'IMU_roll': 0.07, 'IMU_pitch': 0.13, 'IMU_yaw': 1.28, 'IMU_Acc_x': 1.50, 'IMU_Acc_y': -0.51, 'IMU_Acc_z': 9.06}
{'Time': 10848, 'Left_wheel_dist': 571, 'Right_wheel_dist': -518, 'IMU_roll': 0.06, 'IMU_pitch': 0.13, 'IMU_yaw': 1.46, 'IMU_Acc_x': 1.36, 'IMU_Acc_y': 0.55, 'IMU_Acc_z': 8.28}
{'Time': 10954, 'Left_wheel_dist': 625, 'Right_wheel_dist': -573, 'IMU_roll': 0.05, 'IMU_pitch': 0.13, 'IMU_yaw': 1.65, 'IMU_Acc_x': 1.66, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 15.93}
{'Time': 11052, 'Left_wheel_dist': 675, 'Right_wheel_dist': -619, 'IMU_roll': 0.05, 'IMU_pitch': 0.15, 'IMU_yaw': 1.81, 'IMU_Acc_x': 1.89, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 11.59}
I2C ERROR CODE : 2
{'Time': 11156, 'Left_wheel_dist': 730, 'Right_wheel_dist': -675, 'IMU_roll': 0.03, 'IMU_pitch': 0.17, 'IMU_yaw': 1.98, 'IMU_Acc_x': 3.27, 'IMU_Acc_y': -3.93, 'IMU_Acc_z': 30.22}
{'Time': 11253, 'Left_wheel_dist': 778, 'Right_wheel_dist': -723, 'IMU_roll': 0.11, 'IMU_pitch': 0.15, 'IMU_yaw': 2.14, 'IMU_Acc_x': 0.95, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 22.85}
{'Time': 11350, 'Left_wheel_dist': 826, 'Right_wheel_dist': -765, 'IMU_roll': 0.11, 'IMU_pitch': 0.16, 'IMU_yaw': 2.30, 'IMU_Acc_x': 1.00, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 7.46}
{'Time': 11455, 'Left_wheel_dist': 880, 'Right_wheel_dist': -813, 'IMU_roll': 0.05, 'IMU_pitch': 0.15, 'IMU_yaw': 2.46, 'IMU_Acc_x': 1.71, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 12.04}
{'Time': 11550, 'Left_wheel_dist': 926, 'Right_wheel_dist': -856, 'IMU_roll': 0.05, 'IMU_pitch': 0.12, 'IMU_yaw': 2.61, 'IMU_Acc_x': 1.40, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 11.42}
{'Time': 11657, 'Left_wheel_dist': 981, 'Right_wheel_dist': -911, 'IMU_roll': 0.03, 'IMU_pitch': 0.13, 'IMU_yaw': 2.79, 'IMU_Acc_x': 1.28, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.94}
{'Time': 11753, 'Left_wheel_dist': 1029, 'Right_wheel_dist': -957, 'IMU_roll': 0.07, 'IMU_pitch': 0.13, 'IMU_yaw': 2.96, 'IMU_Acc_x': 1.87, 'IMU_Acc_y': 1.37, 'IMU_Acc_z': -0.58}
{'Time': 11850, 'Left_wheel_dist': 1081, 'Right_wheel_dist': -1003, 'IMU_roll': 0.02, 'IMU_pitch': 0.13, 'IMU_yaw': 3.12, 'IMU_Acc_x': 1.44, 'IMU_Acc_y': -0.32, 'IMU_Acc_z': 11.92}
{'Time': 11956, 'Left_wheel_dist': 1136, 'Right_wheel_dist': -1057, 'IMU_roll': 0.03, 'IMU_pitch': 0.13, 'IMU_yaw': 3.26, 'IMU_Acc_x': 1.50, 'IMU_Acc_y': 0.64, 'IMU_Acc_z': 8.79}
{'Time': 12052, 'Left_wheel_dist': 1188, 'Right_wheel_dist': -1109, 'IMU_roll': 0.02, 'IMU_pitch': 0.14, 'IMU_yaw': 3.43, 'IMU_Acc_x': 1.46, 'IMU_Acc_y': 0.40, 'IMU_Acc_z': 3.17}
{'Time': 12158, 'Left_wheel_dist': 1242, 'Right_wheel_dist': -1160, 'IMU_roll': 0.03, 'IMU_pitch': 0.11, 'IMU_yaw': 3.61, 'IMU_Acc_x': 2.75, 'IMU_Acc_y': -1.47, 'IMU_Acc_z': 25.82}
{'Time': 12255, 'Left_wheel_dist': 1293, 'Right_wheel_dist': -1201, 'IMU_roll': 0.03, 'IMU_pitch': 0.09, 'IMU_yaw': 3.76, 'IMU_Acc_x': 0.58, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 6.51}
{'Time': 12352, 'Left_wheel_dist': 1341, 'Right_wheel_dist': -1245, 'IMU_roll': 0.03, 'IMU_pitch': 0.11, 'IMU_yaw': 3.90, 'IMU_Acc_x': 0.92, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 9.40}
{'Time': 12459, 'Left_wheel_dist': 1397, 'Right_wheel_dist': -1297, 'IMU_roll': 0.03, 'IMU_pitch': 0.11, 'IMU_yaw': 4.08, 'IMU_Acc_x': 0.81, 'IMU_Acc_y': -2.08, 'IMU_Acc_z': 12.13}
{'Time': 12554, 'Left_wheel_dist': 1443, 'Right_wheel_dist': -1341, 'IMU_roll': 0.06, 'IMU_pitch': 0.12, 'IMU_yaw': 4.23, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': 0.88, 'IMU_Acc_z': 10.31}
{'Time': 12652, 'Left_wheel_dist': 1495, 'Right_wheel_dist': -1384, 'IMU_roll': 0.03, 'IMU_pitch': 0.11, 'IMU_yaw': 4.37, 'IMU_Acc_x': 1.28, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.30}
{'Time': 12759, 'Left_wheel_dist': 1552, 'Right_wheel_dist': -1434, 'IMU_roll': 0.02, 'IMU_pitch': 0.13, 'IMU_yaw': 4.53, 'IMU_Acc_x': 1.25, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': -0.99}
{'Time': 12855, 'Left_wheel_dist': 1602, 'Right_wheel_dist': -1487, 'IMU_roll': 0.01, 'IMU_pitch': 0.11, 'IMU_yaw': 4.67, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': -0.34, 'IMU_Acc_z': 11.43}
{'Time': 12952, 'Left_wheel_dist': 1652, 'Right_wheel_dist': -1535, 'IMU_roll': 0.02, 'IMU_pitch': 0.11, 'IMU_yaw': 4.82, 'IMU_Acc_x': 1.60, 'IMU_Acc_y': -1.67, 'IMU_Acc_z': 19.05}
{'Time': 13059, 'Left_wheel_dist': 1707, 'Right_wheel_dist': -1585, 'IMU_roll': 0.04, 'IMU_pitch': 0.11, 'IMU_yaw': 4.98, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 7.64}
{'Time': 13154, 'Left_wheel_dist': 1755, 'Right_wheel_dist': -1626, 'IMU_roll': 0.05, 'IMU_pitch': 0.11, 'IMU_yaw': 5.14, 'IMU_Acc_x': 1.13, 'IMU_Acc_y': -1.18, 'IMU_Acc_z': 12.75}
{'Time': 13260, 'Left_wheel_dist': 1807, 'Right_wheel_dist': -1683, 'IMU_roll': 0.04, 'IMU_pitch': 0.12, 'IMU_yaw': 5.30, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 7.62}
{'Time': 13357, 'Left_wheel_dist': 1860, 'Right_wheel_dist': -1729, 'IMU_roll': 0.05, 'IMU_pitch': 0.13, 'IMU_yaw': 5.45, 'IMU_Acc_x': 0.92, 'IMU_Acc_y': -2.38, 'IMU_Acc_z': 18.19}
{'Time': 13453, 'Left_wheel_dist': 1905, 'Right_wheel_dist': -1774, 'IMU_roll': 0.04, 'IMU_pitch': 0.12, 'IMU_yaw': 5.59, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 6.77}
{'Time': 13558, 'Left_wheel_dist': 1962, 'Right_wheel_dist': -1827, 'IMU_roll': 0.04, 'IMU_pitch': 0.12, 'IMU_yaw': 5.77, 'IMU_Acc_x': 1.28, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 10.46}
{'Time': 13656, 'Left_wheel_dist': 2012, 'Right_wheel_dist': -1881, 'IMU_roll': 0.03, 'IMU_pitch': 0.13, 'IMU_yaw': 5.93, 'IMU_Acc_x': 1.42, 'IMU_Acc_y': -1.47, 'IMU_Acc_z': 18.47}
{'Time': 13752, 'Left_wheel_dist': 2064, 'Right_wheel_dist': -1931, 'IMU_roll': 0.04, 'IMU_pitch': 0.14, 'IMU_yaw': 6.09, 'IMU_Acc_x': 1.11, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 5.59}
{'Time': 13858, 'Left_wheel_dist': 2115, 'Right_wheel_dist': -1982, 'IMU_roll': 0.04, 'IMU_pitch': 0.13, 'IMU_yaw': 6.28, 'IMU_Acc_x': 1.06, 'IMU_Acc_y': 0.85, 'IMU_Acc_z': 12.78}
{'Time': 13956, 'Left_wheel_dist': 2167, 'Right_wheel_dist': -2030, 'IMU_roll': 0.06, 'IMU_pitch': 0.13, 'IMU_yaw': 0.17, 'IMU_Acc_x': 1.64, 'IMU_Acc_y': -0.46, 'IMU_Acc_z': 15.97}
{'Time': 14052, 'Left_wheel_dist': 2213, 'Right_wheel_dist': -2082, 'IMU_roll': 0.06, 'IMU_pitch': 0.15, 'IMU_yaw': 0.34, 'IMU_Acc_x': 1.39, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 8.32}
{'Time': 14157, 'Left_wheel_dist': 2267, 'Right_wheel_dist': -2136, 'IMU_roll': 0.06, 'IMU_pitch': 0.13, 'IMU_yaw': 0.54, 'IMU_Acc_x': 1.99, 'IMU_Acc_y': -1.38, 'IMU_Acc_z': 17.65}
{'Time': 14255, 'Left_wheel_dist': 2313, 'Right_wheel_dist': -2184, 'IMU_roll': 0.08, 'IMU_pitch': 0.14, 'IMU_yaw': 0.72, 'IMU_Acc_x': 1.02, 'IMU_Acc_y': 0.31, 'IMU_Acc_z': 5.54}
{'Time': 14361, 'Left_wheel_dist': 2370, 'Right_wheel_dist': -2241, 'IMU_roll': 0.08, 'IMU_pitch': 0.12, 'IMU_yaw': 0.92, 'IMU_Acc_x': 1.72, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 10.68}
{'Time': 14458, 'Left_wheel_dist': 2416, 'Right_wheel_dist': -2296, 'IMU_roll': 0.08, 'IMU_pitch': 0.12, 'IMU_yaw': 1.10, 'IMU_Acc_x': 2.13, 'IMU_Acc_y': 0.50, 'IMU_Acc_z': 9.52}
{'Time': 14556, 'Left_wheel_dist': 2466, 'Right_wheel_dist': -2346, 'IMU_roll': 0.07, 'IMU_pitch': 0.13, 'IMU_yaw': 1.28, 'IMU_Acc_x': 1.24, 'IMU_Acc_y': -1.18, 'IMU_Acc_z': 10.06}
{'Time': 14662, 'Left_wheel_dist': 2518, 'Right_wheel_dist': -2396, 'IMU_roll': 0.09, 'IMU_pitch': 0.13, 'IMU_yaw': 1.48, 'IMU_Acc_x': 1.15, 'IMU_Acc_y': 0.92, 'IMU_Acc_z': 2.98}
{'Time': 14758, 'Left_wheel_dist': 2566, 'Right_wheel_dist': -2448, 'IMU_roll': 0.07, 'IMU_pitch': 0.13, 'IMU_yaw': 1.65, 'IMU_Acc_x': 1.42, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 22.74}
{'Time': 14856, 'Left_wheel_dist': 2612, 'Right_wheel_dist': -2498, 'IMU_roll': 0.08, 'IMU_pitch': 0.15, 'IMU_yaw': 1.82, 'IMU_Acc_x': 1.87, 'IMU_Acc_y': 0.64, 'IMU_Acc_z': 6.14}
{'Time': 14962, 'Left_wheel_dist': 2666, 'Right_wheel_dist': -2551, 'IMU_roll': 0.05, 'IMU_pitch': 0.14, 'IMU_yaw': 2.01, 'IMU_Acc_x': 1.31, 'IMU_Acc_y': -2.45, 'IMU_Acc_z': 15.56}
{'Time': 15059, 'Left_wheel_dist': 2712, 'Right_wheel_dist': -2599, 'IMU_roll': 0.07, 'IMU_pitch': 0.17, 'IMU_yaw': 2.17, 'IMU_Acc_x': 1.30, 'IMU_Acc_y': 0.45, 'IMU_Acc_z': 7.34}
{'Time': 15156, 'Left_wheel_dist': 2762, 'Right_wheel_dist': -2651, 'IMU_roll': 0.06, 'IMU_pitch': 0.15, 'IMU_yaw': 2.34, 'IMU_Acc_x': 1.42, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.52}
{'Time': 15262, 'Left_wheel_dist': 2815, 'Right_wheel_dist': -2706, 'IMU_roll': 0.05, 'IMU_pitch': 0.13, 'IMU_yaw': 2.50, 'IMU_Acc_x': 2.36, 'IMU_Acc_y': -2.64, 'IMU_Acc_z': 18.97}
{'Time': 15358, 'Left_wheel_dist': 2863, 'Right_wheel_dist': -2751, 'IMU_roll': 0.06, 'IMU_pitch': 0.12, 'IMU_yaw': 2.65, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': 0.39, 'IMU_Acc_z': 7.65}
{'Time': 15455, 'Left_wheel_dist': 2911, 'Right_wheel_dist': -2795, 'IMU_roll': 0.04, 'IMU_pitch': 0.14, 'IMU_yaw': 2.83, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': 0.48, 'IMU_Acc_z': 8.10}
{'Time': 15561, 'Left_wheel_dist': 2965, 'Right_wheel_dist': -2849, 'IMU_roll': 0.03, 'IMU_pitch': 0.12, 'IMU_yaw': 3.01, 'IMU_Acc_x': 1.23, 'IMU_Acc_y': -0.32, 'IMU_Acc_z': 9.20}
{'Time': 15659, 'Left_wheel_dist': 3013, 'Right_wheel_dist': -2897, 'IMU_roll': 0.05, 'IMU_pitch': 0.13, 'IMU_yaw': 3.17, 'IMU_Acc_x': 1.06, 'IMU_Acc_y': 0.61, 'IMU_Acc_z': 8.71}
{'Time': 15755, 'Left_wheel_dist': 3061, 'Right_wheel_dist': -2941, 'IMU_roll': 0.03, 'IMU_pitch': 0.13, 'IMU_yaw': 3.31, 'IMU_Acc_x': 1.45, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 12.80}
{'Time': 15860, 'Left_wheel_dist': 3116, 'Right_wheel_dist': -2991, 'IMU_roll': 0.04, 'IMU_pitch': 0.13, 'IMU_yaw': 3.49, 'IMU_Acc_x': 2.41, 'IMU_Acc_y': -2.86, 'IMU_Acc_z': 22.76}
{'Time': 15958, 'Left_wheel_dist': 3163, 'Right_wheel_dist': -3041, 'IMU_roll': 0.06, 'IMU_pitch': 0.10, 'IMU_yaw': 3.64, 'IMU_Acc_x': -0.25, 'IMU_Acc_y': 0.30, 'IMU_Acc_z': 3.85}
{'Time': 16064, 'Left_wheel_dist': 3216, 'Right_wheel_dist': -3092, 'IMU_roll': 0.05, 'IMU_pitch': 0.11, 'IMU_yaw': 3.81, 'IMU_Acc_x': 1.10, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 13.20}
{'Time': 16161, 'Left_wheel_dist': 3266, 'Right_wheel_dist': -3135, 'IMU_roll': 0.04, 'IMU_pitch': 0.09, 'IMU_yaw': 3.96, 'IMU_Acc_x': 0.90, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 10.12}
{'Time': 16259, 'Left_wheel_dist': 3316, 'Right_wheel_dist': -3177, 'IMU_roll': 0.05, 'IMU_pitch': 0.11, 'IMU_yaw': 4.11, 'IMU_Acc_x': 1.94, 'IMU_Acc_y': -0.48, 'IMU_Acc_z': 22.38}
{'Time': 16355, 'Left_wheel_dist': 3362, 'Right_wheel_dist': -3222, 'IMU_roll': 0.05, 'IMU_pitch': 0.11, 'IMU_yaw': 4.25, 'IMU_Acc_x': 0.76, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 5.33}
{'Time': 16460, 'Left_wheel_dist': 3416, 'Right_wheel_dist': -3273, 'IMU_roll': 0.04, 'IMU_pitch': 0.11, 'IMU_yaw': 4.42, 'IMU_Acc_x': 1.01, 'IMU_Acc_y': 0.77, 'IMU_Acc_z': 9.65}
{'Time': 16558, 'Left_wheel_dist': 3464, 'Right_wheel_dist': -3318, 'IMU_roll': 0.05, 'IMU_pitch': 0.12, 'IMU_yaw': 4.57, 'IMU_Acc_x': 1.14, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 12.79}
{'Time': 16664, 'Left_wheel_dist': 3521, 'Right_wheel_dist': -3366, 'IMU_roll': 0.03, 'IMU_pitch': 0.11, 'IMU_yaw': 4.71, 'IMU_Acc_x': 1.29, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 7.80}
{'Time': 16761, 'Left_wheel_dist': 3569, 'Right_wheel_dist': -3416, 'IMU_roll': 0.04, 'IMU_pitch': 0.11, 'IMU_yaw': 4.86, 'IMU_Acc_x': 1.43, 'IMU_Acc_y': 0.56, 'IMU_Acc_z': 3.77}
{'Time': 16859, 'Left_wheel_dist': 3619, 'Right_wheel_dist': -3471, 'IMU_roll': 0.05, 'IMU_pitch': 0.11, 'IMU_yaw': 5.01, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': 0.57, 'IMU_Acc_z': 8.56}
{'Time': 16965, 'Left_wheel_dist': 3669, 'Right_wheel_dist': -3521, 'IMU_roll': 0.06, 'IMU_pitch': 0.10, 'IMU_yaw': 5.16, 'IMU_Acc_x': 0.91, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 10.04}
{'Time': 17061, 'Left_wheel_dist': 3720, 'Right_wheel_dist': -3563, 'IMU_roll': 0.06, 'IMU_pitch': 0.11, 'IMU_yaw': 5.32, 'IMU_Acc_x': 2.20, 'IMU_Acc_y': 0.85, 'IMU_Acc_z': -2.48}
{'Time': 17158, 'Left_wheel_dist': 3765, 'Right_wheel_dist': -3611, 'IMU_roll': 0.07, 'IMU_pitch': 0.12, 'IMU_yaw': 5.47, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 9.99}
