Fri Jul 31 18:53:13 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 9649, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 5.78, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.90}
{'Time': 9744, 'Left_wheel_dist': -17, 'Right_wheel_dist': -17, 'IMU_roll': -0.02, 'IMU_pitch': -0.06, 'IMU_yaw': 5.76, 'IMU_Acc_x': -2.33, 'IMU_Acc_y': -0.92, 'IMU_Acc_z': 8.53}
{'Time': 9849, 'Left_wheel_dist': -61, 'Right_wheel_dist': -50, 'IMU_roll': -0.02, 'IMU_pitch': -0.05, 'IMU_yaw': 5.76, 'IMU_Acc_x': -1.19, 'IMU_Acc_y': -1.35, 'IMU_Acc_z': 8.59}
{'Time': 9946, 'Left_wheel_dist': -104, 'Right_wheel_dist': -89, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 5.76, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 7.78}
{'Time': 10052, 'Left_wheel_dist': -157, 'Right_wheel_dist': -146, 'IMU_roll': -0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 5.75, 'IMU_Acc_x': -0.35, 'IMU_Acc_y': -1.09, 'IMU_Acc_z': 12.08}
{'Time': 10149, 'Left_wheel_dist': -207, 'Right_wheel_dist': -196, 'IMU_roll': -0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 5.74, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': -0.87, 'IMU_Acc_z': 7.33}
{'Time': 10247, 'Left_wheel_dist': -261, 'Right_wheel_dist': -239, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 5.73, 'IMU_Acc_x': -0.21, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 8.60}
{'Time': 10353, 'Left_wheel_dist': -318, 'Right_wheel_dist': -285, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 5.71, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 8.06}
{'Time': 10449, 'Left_wheel_dist': -370, 'Right_wheel_dist': -333, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.70, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 8.47}
{'Time': 10546, 'Left_wheel_dist': -420, 'Right_wheel_dist': -383, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.70, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': -2.35}
{'Time': 10652, 'Left_wheel_dist': -477, 'Right_wheel_dist': -433, 'IMU_roll': -0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 5.68, 'IMU_Acc_x': 0.86, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 13.61}
