Fri Jul 31 19:09:05 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9646, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.69, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.94}
{'Time': 9751, 'Left_wheel_dist': -21, 'Right_wheel_dist': 17, 'IMU_roll': -0.06, 'IMU_pitch': -0.04, 'IMU_yaw': 0.68, 'IMU_Acc_x': -0.31, 'IMU_Acc_y': -0.67, 'IMU_Acc_z': 12.93}
{'Time': 9846, 'Left_wheel_dist': -56, 'Right_wheel_dist': 47, 'IMU_roll': -0.07, 'IMU_pitch': -0.05, 'IMU_yaw': 0.66, 'IMU_Acc_x': -1.04, 'IMU_Acc_y': -0.55, 'IMU_Acc_z': 9.10}
{'Time': 9944, 'Left_wheel_dist': -104, 'Right_wheel_dist': 82, 'IMU_roll': -0.07, 'IMU_pitch': -0.05, 'IMU_yaw': 0.64, 'IMU_Acc_x': -0.34, 'IMU_Acc_y': -0.53, 'IMU_Acc_z': 7.88}
{'Time': 10050, 'Left_wheel_dist': -159, 'Right_wheel_dist': 133, 'IMU_roll': -0.07, 'IMU_pitch': -0.03, 'IMU_yaw': 0.62, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.37}
{'Time': 10147, 'Left_wheel_dist': -211, 'Right_wheel_dist': 178, 'IMU_roll': -0.06, 'IMU_pitch': -0.01, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.49, 'IMU_Acc_z': 12.88}
{'Time': 10245, 'Left_wheel_dist': -261, 'Right_wheel_dist': 224, 'IMU_roll': -0.05, 'IMU_pitch': -0.00, 'IMU_yaw': 0.60, 'IMU_Acc_x': -0.25, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.22}
{'Time': 10351, 'Left_wheel_dist': -316, 'Right_wheel_dist': 279, 'IMU_roll': -0.05, 'IMU_pitch': 0.00, 'IMU_yaw': 0.60, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.68, 'IMU_Acc_z': 13.32}
{'Time': 10447, 'Left_wheel_dist': -366, 'Right_wheel_dist': 333, 'IMU_roll': -0.05, 'IMU_pitch': 0.00, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.51, 'IMU_Acc_z': 11.43}
{'Time': 10545, 'Left_wheel_dist': -414, 'Right_wheel_dist': 385, 'IMU_roll': -0.05, 'IMU_pitch': 0.01, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.78, 'IMU_Acc_z': 11.29}
{'Time': 10651, 'Left_wheel_dist': -471, 'Right_wheel_dist': 440, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 7.83}
{'Time': 10748, 'Left_wheel_dist': -521, 'Right_wheel_dist': 492, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.60, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': -0.41, 'IMU_Acc_z': 10.29}
{'Time': 10846, 'Left_wheel_dist': -573, 'Right_wheel_dist': 547, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 9.91}
{'Time': 10952, 'Left_wheel_dist': -625, 'Right_wheel_dist': 601, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': -0.59, 'IMU_Acc_z': 9.13}
{'Time': 11048, 'Left_wheel_dist': -678, 'Right_wheel_dist': 651, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': -0.56, 'IMU_Acc_z': 6.31}
{'Time': 11145, 'Left_wheel_dist': -726, 'Right_wheel_dist': 710, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': -0.56, 'IMU_Acc_z': 12.06}
{'Time': 11251, 'Left_wheel_dist': -782, 'Right_wheel_dist': 771, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 7.16}
{'Time': 11348, 'Left_wheel_dist': -830, 'Right_wheel_dist': 822, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.59}
{'Time': 11445, 'Left_wheel_dist': -880, 'Right_wheel_dist': 870, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 15.24}
{'Time': 11550, 'Left_wheel_dist': -935, 'Right_wheel_dist': 931, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 0.62, 'IMU_Acc_x': -0.32, 'IMU_Acc_y': -0.76, 'IMU_Acc_z': 6.58}
{'Time': 11646, 'Left_wheel_dist': -987, 'Right_wheel_dist': 981, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 0.62, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 4.02}
{'Time': 11753, 'Left_wheel_dist': -1040, 'Right_wheel_dist': 1037, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.63, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': -0.59, 'IMU_Acc_z': 5.80}
{'Time': 11850, 'Left_wheel_dist': -1090, 'Right_wheel_dist': 1094, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.63, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 8.21}
{'Time': 11948, 'Left_wheel_dist': -1140, 'Right_wheel_dist': 1151, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 0.64, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.44, 'IMU_Acc_z': 9.56}
{'Time': 12045, 'Left_wheel_dist': -1190, 'Right_wheel_dist': 1201, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.64, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 9.34}
{'Time': 12151, 'Left_wheel_dist': -1245, 'Right_wheel_dist': 1256, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.65, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': -0.65, 'IMU_Acc_z': 8.43}
{'Time': 12248, 'Left_wheel_dist': -1295, 'Right_wheel_dist': 1312, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.65, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 11.78}
{'Time': 12354, 'Left_wheel_dist': -1349, 'Right_wheel_dist': 1369, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 0.67, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.37, 'IMU_Acc_z': 8.80}
{'Time': 12451, 'Left_wheel_dist': -1399, 'Right_wheel_dist': 1421, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 0.67, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 7.62}
{'Time': 12549, 'Left_wheel_dist': -1447, 'Right_wheel_dist': 1478, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 0.68, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 11.99}
{'Time': 12646, 'Left_wheel_dist': -1495, 'Right_wheel_dist': 1537, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 0.69, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.74, 'IMU_Acc_z': 14.84}
{'Time': 12752, 'Left_wheel_dist': -1550, 'Right_wheel_dist': 1591, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 0.70, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 10.70}
{'Time': 12849, 'Left_wheel_dist': -1598, 'Right_wheel_dist': 1639, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 0.71, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.03}
{'Time': 12954, 'Left_wheel_dist': -1652, 'Right_wheel_dist': 1698, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 0.72, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.12}
{'Time': 13051, 'Left_wheel_dist': -1700, 'Right_wheel_dist': 1750, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.73, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.76, 'IMU_Acc_z': 4.36}
{'Time': 13149, 'Left_wheel_dist': -1753, 'Right_wheel_dist': 1803, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.73, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': -0.47, 'IMU_Acc_z': 7.29}
{'Time': 13247, 'Left_wheel_dist': -1801, 'Right_wheel_dist': 1857, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.74, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 11.51}
{'Time': 13353, 'Left_wheel_dist': -1855, 'Right_wheel_dist': 1921, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.75, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.61, 'IMU_Acc_z': 8.03}
{'Time': 13450, 'Left_wheel_dist': -1901, 'Right_wheel_dist': 1971, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 0.76, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 8.11}
{'Time': 13555, 'Left_wheel_dist': -1955, 'Right_wheel_dist': 2025, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.77, 'IMU_Acc_x': 0.87, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 12.39}
{'Time': 13652, 'Left_wheel_dist': -2003, 'Right_wheel_dist': 2080, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.78, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.41, 'IMU_Acc_z': 9.76}
{'Time': 13749, 'Left_wheel_dist': -2054, 'Right_wheel_dist': 2134, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.78, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 10.10}
{'Time': 13855, 'Left_wheel_dist': -2106, 'Right_wheel_dist': 2191, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.79, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 10.32}
{'Time': 13953, 'Left_wheel_dist': -2158, 'Right_wheel_dist': 2245, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.79, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 6.49}
{'Time': 14048, 'Left_wheel_dist': -2204, 'Right_wheel_dist': 2304, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.80, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 8.97}
{'Time': 14154, 'Left_wheel_dist': -2261, 'Right_wheel_dist': 2361, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.80, 'IMU_Acc_x': -0.22, 'IMU_Acc_y': -0.41, 'IMU_Acc_z': 13.60}
{'Time': 14252, 'Left_wheel_dist': -2307, 'Right_wheel_dist': 2411, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.81, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 8.51}
{'Time': 14348, 'Left_wheel_dist': -2357, 'Right_wheel_dist': 2464, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.81, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 11.87}
{'Time': 14454, 'Left_wheel_dist': -2407, 'Right_wheel_dist': 2522, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.81, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.39, 'IMU_Acc_z': 12.26}
{'Time': 14551, 'Left_wheel_dist': -2457, 'Right_wheel_dist': 2575, 'IMU_roll': -0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 0.82, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.39, 'IMU_Acc_z': 8.41}
{'Time': 14656, 'Left_wheel_dist': -2509, 'Right_wheel_dist': 2634, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.83, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 10.11}
{'Time': 14753, 'Left_wheel_dist': -2562, 'Right_wheel_dist': 2692, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 0.84, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 9.77}
{'Time': 14851, 'Left_wheel_dist': -2610, 'Right_wheel_dist': 2745, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.85, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.09}
{'Time': 14948, 'Left_wheel_dist': -2658, 'Right_wheel_dist': 2797, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.86, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.48}
{'Time': 15054, 'Left_wheel_dist': -2710, 'Right_wheel_dist': 2856, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.87, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.65, 'IMU_Acc_z': 10.66}
{'Time': 15151, 'Left_wheel_dist': -2758, 'Right_wheel_dist': 2913, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.87, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 6.39}
{'Time': 15256, 'Left_wheel_dist': -2810, 'Right_wheel_dist': 2969, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 0.89, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.43, 'IMU_Acc_z': 7.46}
{'Time': 15353, 'Left_wheel_dist': -2860, 'Right_wheel_dist': 3024, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 0.89, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 11.36}
{'Time': 15451, 'Left_wheel_dist': -2911, 'Right_wheel_dist': 3085, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.91, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 8.86}
{'Time': 15557, 'Left_wheel_dist': -2965, 'Right_wheel_dist': 3144, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 0.92, 'IMU_Acc_x': -0.25, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.43}
{'Time': 15654, 'Left_wheel_dist': -3013, 'Right_wheel_dist': 3192, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 0.92, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 8.79}
