Fri Jul 31 19:11:54 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9653, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 5.20, 'IMU_Acc_x': -0.34, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78}
{'Time': 9749, 'Left_wheel_dist': 26, 'Right_wheel_dist': 15, 'IMU_roll': 0.08, 'IMU_pitch': -0.03, 'IMU_yaw': 5.23, 'IMU_Acc_x': 1.05, 'IMU_Acc_y': 3.24, 'IMU_Acc_z': 9.63}
{'Time': 9853, 'Left_wheel_dist': 65, 'Right_wheel_dist': 47, 'IMU_roll': 0.12, 'IMU_pitch': -0.02, 'IMU_yaw': 5.33, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': 1.10, 'IMU_Acc_z': 12.13}
{'Time': 9950, 'Left_wheel_dist': 109, 'Right_wheel_dist': 87, 'IMU_roll': 0.10, 'IMU_pitch': 0.00, 'IMU_yaw': 5.46, 'IMU_Acc_x': 0.82, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 12.23}
{'Time': 10047, 'Left_wheel_dist': 161, 'Right_wheel_dist': 126, 'IMU_roll': 0.07, 'IMU_pitch': 0.02, 'IMU_yaw': 5.60, 'IMU_Acc_x': 0.85, 'IMU_Acc_y': -1.62, 'IMU_Acc_z': 10.29}
{'Time': 10152, 'Left_wheel_dist': 218, 'Right_wheel_dist': 170, 'IMU_roll': 0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 5.76, 'IMU_Acc_x': 0.86, 'IMU_Acc_y': 0.84, 'IMU_Acc_z': 10.29}
{'Time': 10248, 'Left_wheel_dist': 270, 'Right_wheel_dist': 215, 'IMU_roll': 0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 5.93, 'IMU_Acc_x': 1.13, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 9.61}
{'Time': 10354, 'Left_wheel_dist': 331, 'Right_wheel_dist': 270, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 6.11, 'IMU_Acc_x': 1.15, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 8.54}
{'Time': 10450, 'Left_wheel_dist': 383, 'Right_wheel_dist': 316, 'IMU_roll': 0.00, 'IMU_pitch': 0.10, 'IMU_yaw': 6.28, 'IMU_Acc_x': 1.11, 'IMU_Acc_y': -1.48, 'IMU_Acc_z': 9.35}
{'Time': 10548, 'Left_wheel_dist': 438, 'Right_wheel_dist': 366, 'IMU_roll': 0.02, 'IMU_pitch': 0.12, 'IMU_yaw': 0.17, 'IMU_Acc_x': 1.52, 'IMU_Acc_y': 0.39, 'IMU_Acc_z': 10.48}
{'Time': 10654, 'Left_wheel_dist': 490, 'Right_wheel_dist': 427, 'IMU_roll': 0.02, 'IMU_pitch': 0.13, 'IMU_yaw': 0.37, 'IMU_Acc_x': 1.49, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 8.94}
{'Time': 10750, 'Left_wheel_dist': 542, 'Right_wheel_dist': 479, 'IMU_roll': 0.04, 'IMU_pitch': 0.13, 'IMU_yaw': 0.56, 'IMU_Acc_x': 1.51, 'IMU_Acc_y': -0.72, 'IMU_Acc_z': 10.17}
{'Time': 10847, 'Left_wheel_dist': 588, 'Right_wheel_dist': 529, 'IMU_roll': 0.05, 'IMU_pitch': 0.14, 'IMU_yaw': 0.74, 'IMU_Acc_x': 1.62, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 8.10}
{'Time': 10953, 'Left_wheel_dist': 647, 'Right_wheel_dist': 586, 'IMU_roll': 0.04, 'IMU_pitch': 0.14, 'IMU_yaw': 0.95, 'IMU_Acc_x': 2.16, 'IMU_Acc_y': -0.74, 'IMU_Acc_z': 8.78}
{'Time': 11049, 'Left_wheel_dist': 695, 'Right_wheel_dist': 641, 'IMU_roll': 0.05, 'IMU_pitch': 0.14, 'IMU_yaw': 1.14, 'IMU_Acc_x': 1.66, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 11.80}
{'Time': 11156, 'Left_wheel_dist': 752, 'Right_wheel_dist': 699, 'IMU_roll': 0.06, 'IMU_pitch': 0.16, 'IMU_yaw': 1.35, 'IMU_Acc_x': 1.90, 'IMU_Acc_y': 0.44, 'IMU_Acc_z': 6.95}
