Fri Jul 31 19:14:37 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9647, 'Left_wheel_dist': 0, 'Right_wheel_dist': -2719, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.54}
{'Time': 9753, 'Left_wheel_dist': -34, 'Right_wheel_dist': -2703, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 10.20}
{'Time': 9850, 'Left_wheel_dist': -89, 'Right_wheel_dist': -2666, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.94}
{'Time': 9947, 'Left_wheel_dist': -137, 'Right_wheel_dist': -2618, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.89}
{'Time': 10052, 'Left_wheel_dist': -194, 'Right_wheel_dist': -2564, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.83}
{'Time': 10150, 'Left_wheel_dist': -244, 'Right_wheel_dist': -2514, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.77}
{'Time': 10248, 'Left_wheel_dist': -298, 'Right_wheel_dist': -2466, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.70}
{'Time': 10355, 'Left_wheel_dist': -355, 'Right_wheel_dist': -2402, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.75}
{'Time': 10454, 'Left_wheel_dist': -407, 'Right_wheel_dist': -2350, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.80}
{'Time': 10551, 'Left_wheel_dist': -460, 'Right_wheel_dist': -2302, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.85}
{'Time': 10648, 'Left_wheel_dist': -508, 'Right_wheel_dist': -2254, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.88}
