Fri Jul 31 19:15:19 2020
Program 0: 10s Stillstand
{'Time': 9649, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.80}
{'Time': 9750, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.77}
{'Time': 9852, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.77}
{'Time': 9953, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.78}
{'Time': 10046, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.77}
{'Time': 10148, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.75}
{'Time': 10249, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.77}
{'Time': 10350, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.79}
{'Time': 10452, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.78}
{'Time': 10553, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.78}
{'Time': 10654, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.78}
{'Time': 10747, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.79}
{'Time': 10848, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.80}
{'Time': 10949, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.82}
{'Time': 11052, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.81}
