Fri Jul 31 19:29:51 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9644, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 0.71, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 9.77}
{'Time': 9748, 'Left_wheel_dist': 28, 'Right_wheel_dist': -19, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.75, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': 2.30, 'IMU_Acc_z': 12.70}
{'Time': 9844, 'Left_wheel_dist': 61, 'Right_wheel_dist': -45, 'IMU_roll': 0.06, 'IMU_pitch': 0.06, 'IMU_yaw': 0.84, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.45, 'IMU_Acc_z': 8.94}
{'Time': 9942, 'Left_wheel_dist': 102, 'Right_wheel_dist': -82, 'IMU_roll': 0.07, 'IMU_pitch': 0.09, 'IMU_yaw': 0.96, 'IMU_Acc_x': 1.28, 'IMU_Acc_y': 0.41, 'IMU_Acc_z': 9.26}
{'Time': 10048, 'Left_wheel_dist': 152, 'Right_wheel_dist': -130, 'IMU_roll': 0.06, 'IMU_pitch': 0.12, 'IMU_yaw': 1.12, 'IMU_Acc_x': 1.44, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 12.11}
{'Time': 10144, 'Left_wheel_dist': 200, 'Right_wheel_dist': -180, 'IMU_roll': 0.07, 'IMU_pitch': 0.14, 'IMU_yaw': 1.27, 'IMU_Acc_x': 1.61, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 8.52}
{'Time': 10242, 'Left_wheel_dist': 252, 'Right_wheel_dist': -231, 'IMU_roll': 0.05, 'IMU_pitch': 0.16, 'IMU_yaw': 1.43, 'IMU_Acc_x': 1.81, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 10.82}
{'Time': 10348, 'Left_wheel_dist': 307, 'Right_wheel_dist': -285, 'IMU_roll': 0.05, 'IMU_pitch': 0.17, 'IMU_yaw': 1.62, 'IMU_Acc_x': 2.06, 'IMU_Acc_y': 0.36, 'IMU_Acc_z': 12.17}
{'Time': 10445, 'Left_wheel_dist': 359, 'Right_wheel_dist': -342, 'IMU_roll': 0.06, 'IMU_pitch': 0.17, 'IMU_yaw': 1.78, 'IMU_Acc_x': 1.74, 'IMU_Acc_y': 0.70, 'IMU_Acc_z': 13.24}
{'Time': 10543, 'Left_wheel_dist': 407, 'Right_wheel_dist': -399, 'IMU_roll': 0.05, 'IMU_pitch': 0.20, 'IMU_yaw': 1.95, 'IMU_Acc_x': 2.21, 'IMU_Acc_y': -0.45, 'IMU_Acc_z': 9.70}
{'Time': 10649, 'Left_wheel_dist': 464, 'Right_wheel_dist': -453, 'IMU_roll': 0.07, 'IMU_pitch': 0.19, 'IMU_yaw': 2.13, 'IMU_Acc_x': 1.79, 'IMU_Acc_y': 0.62, 'IMU_Acc_z': 10.39}
{'Time': 10745, 'Left_wheel_dist': 512, 'Right_wheel_dist': -501, 'IMU_roll': 0.05, 'IMU_pitch': 0.19, 'IMU_yaw': 2.28, 'IMU_Acc_x': 1.87, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 9.78}
{'Time': 10842, 'Left_wheel_dist': 562, 'Right_wheel_dist': -551, 'IMU_roll': 0.05, 'IMU_pitch': 0.19, 'IMU_yaw': 2.42, 'IMU_Acc_x': 1.84, 'IMU_Acc_y': 0.45, 'IMU_Acc_z': 10.43}
{'Time': 10948, 'Left_wheel_dist': 617, 'Right_wheel_dist': -608, 'IMU_roll': 0.06, 'IMU_pitch': 0.18, 'IMU_yaw': 2.61, 'IMU_Acc_x': 1.66, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 10.58}
{'Time': 11045, 'Left_wheel_dist': 669, 'Right_wheel_dist': -656, 'IMU_roll': 0.05, 'IMU_pitch': 0.18, 'IMU_yaw': 2.76, 'IMU_Acc_x': 1.88, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.01}
{'Time': 11143, 'Left_wheel_dist': 719, 'Right_wheel_dist': -702, 'IMU_roll': 0.03, 'IMU_pitch': 0.19, 'IMU_yaw': 2.92, 'IMU_Acc_x': 1.34, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 5.12}
{'Time': 11249, 'Left_wheel_dist': 774, 'Right_wheel_dist': -758, 'IMU_roll': 0.04, 'IMU_pitch': 0.14, 'IMU_yaw': 3.11, 'IMU_Acc_x': 1.12, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 13.12}
{'Time': 11345, 'Left_wheel_dist': 824, 'Right_wheel_dist': -806, 'IMU_roll': 0.06, 'IMU_pitch': 0.14, 'IMU_yaw': 3.27, 'IMU_Acc_x': 1.06, 'IMU_Acc_y': 0.72, 'IMU_Acc_z': 10.14}
{'Time': 11450, 'Left_wheel_dist': 876, 'Right_wheel_dist': -854, 'IMU_roll': 0.08, 'IMU_pitch': 0.14, 'IMU_yaw': 3.46, 'IMU_Acc_x': 1.55, 'IMU_Acc_y': 1.60, 'IMU_Acc_z': 6.09}
{'Time': 11547, 'Left_wheel_dist': 928, 'Right_wheel_dist': -898, 'IMU_roll': 0.08, 'IMU_pitch': 0.13, 'IMU_yaw': 3.63, 'IMU_Acc_x': 0.74, 'IMU_Acc_y': 0.41, 'IMU_Acc_z': 10.41}
{'Time': 11644, 'Left_wheel_dist': 979, 'Right_wheel_dist': -946, 'IMU_roll': 0.05, 'IMU_pitch': 0.13, 'IMU_yaw': 3.79, 'IMU_Acc_x': 1.00, 'IMU_Acc_y': -0.65, 'IMU_Acc_z': 11.41}
{'Time': 11750, 'Left_wheel_dist': 1040, 'Right_wheel_dist': -996, 'IMU_roll': 0.07, 'IMU_pitch': 0.13, 'IMU_yaw': 3.96, 'IMU_Acc_x': 1.50, 'IMU_Acc_y': 0.77, 'IMU_Acc_z': 9.04}
{'Time': 11846, 'Left_wheel_dist': 1090, 'Right_wheel_dist': -1040, 'IMU_roll': 0.05, 'IMU_pitch': 0.10, 'IMU_yaw': 4.11, 'IMU_Acc_x': 0.85, 'IMU_Acc_y': 0.32, 'IMU_Acc_z': 10.39}
{'Time': 11943, 'Left_wheel_dist': 1146, 'Right_wheel_dist': -1083, 'IMU_roll': 0.06, 'IMU_pitch': 0.09, 'IMU_yaw': 4.25, 'IMU_Acc_x': 0.93, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.90}
{'Time': 12049, 'Left_wheel_dist': 1199, 'Right_wheel_dist': -1136, 'IMU_roll': 0.05, 'IMU_pitch': 0.09, 'IMU_yaw': 4.41, 'IMU_Acc_x': 1.14, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 11.64}
{'Time': 12146, 'Left_wheel_dist': 1253, 'Right_wheel_dist': -1186, 'IMU_roll': 0.03, 'IMU_pitch': 0.09, 'IMU_yaw': 4.55, 'IMU_Acc_x': 0.99, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 6.51}
{'Time': 12243, 'Left_wheel_dist': 1308, 'Right_wheel_dist': -1229, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 4.70, 'IMU_Acc_x': 0.99, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.10}
{'Time': 12350, 'Left_wheel_dist': 1365, 'Right_wheel_dist': -1275, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 4.86, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': -0.76, 'IMU_Acc_z': 8.38}
{'Time': 12446, 'Left_wheel_dist': 1421, 'Right_wheel_dist': -1323, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 5.01, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': 0.35, 'IMU_Acc_z': 9.73}
{'Time': 12544, 'Left_wheel_dist': 1474, 'Right_wheel_dist': -1371, 'IMU_roll': 0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 5.16, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': -0.72, 'IMU_Acc_z': 11.91}
{'Time': 12650, 'Left_wheel_dist': 1535, 'Right_wheel_dist': -1421, 'IMU_roll': 0.00, 'IMU_pitch': 0.09, 'IMU_yaw': 5.33, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.60}
{'Time': 12747, 'Left_wheel_dist': 1585, 'Right_wheel_dist': -1465, 'IMU_roll': -0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 5.48, 'IMU_Acc_x': 0.88, 'IMU_Acc_y': -0.85, 'IMU_Acc_z': 11.32}
{'Time': 12845, 'Left_wheel_dist': 1637, 'Right_wheel_dist': -1517, 'IMU_roll': -0.01, 'IMU_pitch': 0.10, 'IMU_yaw': 5.64, 'IMU_Acc_x': 1.08, 'IMU_Acc_y': -0.81, 'IMU_Acc_z': 12.01}
{'Time': 12951, 'Left_wheel_dist': 1689, 'Right_wheel_dist': -1574, 'IMU_roll': -0.02, 'IMU_pitch': 0.11, 'IMU_yaw': 5.82, 'IMU_Acc_x': 1.09, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 8.61}
{'Time': 13047, 'Left_wheel_dist': 1742, 'Right_wheel_dist': -1622, 'IMU_roll': 0.01, 'IMU_pitch': 0.12, 'IMU_yaw': 5.99, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 10.17}
{'Time': 13145, 'Left_wheel_dist': 1794, 'Right_wheel_dist': -1668, 'IMU_roll': 0.01, 'IMU_pitch': 0.13, 'IMU_yaw': 6.17, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': -0.91, 'IMU_Acc_z': 10.02}
{'Time': 13252, 'Left_wheel_dist': 1853, 'Right_wheel_dist': -1727, 'IMU_roll': 0.01, 'IMU_pitch': 0.14, 'IMU_yaw': 0.08, 'IMU_Acc_x': 1.38, 'IMU_Acc_y': -0.68, 'IMU_Acc_z': 9.65}
{'Time': 13349, 'Left_wheel_dist': 1903, 'Right_wheel_dist': -1781, 'IMU_roll': 0.02, 'IMU_pitch': 0.14, 'IMU_yaw': 0.27, 'IMU_Acc_x': 1.47, 'IMU_Acc_y': -0.92, 'IMU_Acc_z': 9.43}
{'Time': 13447, 'Left_wheel_dist': 1951, 'Right_wheel_dist': -1831, 'IMU_roll': 0.03, 'IMU_pitch': 0.16, 'IMU_yaw': 0.45, 'IMU_Acc_x': 1.68, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 10.13}
{'Time': 13543, 'Left_wheel_dist': 2001, 'Right_wheel_dist': -1881, 'IMU_roll': 0.03, 'IMU_pitch': 0.16, 'IMU_yaw': 0.63, 'IMU_Acc_x': 2.17, 'IMU_Acc_y': -0.65, 'IMU_Acc_z': 11.85}
{'Time': 13649, 'Left_wheel_dist': 2056, 'Right_wheel_dist': -1947, 'IMU_roll': 0.04, 'IMU_pitch': 0.16, 'IMU_yaw': 0.84, 'IMU_Acc_x': 1.77, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 7.06}
{'Time': 13746, 'Left_wheel_dist': 2106, 'Right_wheel_dist': -1997, 'IMU_roll': 0.04, 'IMU_pitch': 0.15, 'IMU_yaw': 1.02, 'IMU_Acc_x': 1.66, 'IMU_Acc_y': -0.63, 'IMU_Acc_z': 10.60}
{'Time': 13851, 'Left_wheel_dist': 2156, 'Right_wheel_dist': -2051, 'IMU_roll': 0.03, 'IMU_pitch': 0.16, 'IMU_yaw': 1.22, 'IMU_Acc_x': 1.91, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.29}
{'Time': 13948, 'Left_wheel_dist': 2206, 'Right_wheel_dist': -2104, 'IMU_roll': 0.03, 'IMU_pitch': 0.15, 'IMU_yaw': 1.39, 'IMU_Acc_x': 1.78, 'IMU_Acc_y': -0.66, 'IMU_Acc_z': 9.01}
{'Time': 14046, 'Left_wheel_dist': 2256, 'Right_wheel_dist': -2156, 'IMU_roll': 0.03, 'IMU_pitch': 0.16, 'IMU_yaw': 1.57, 'IMU_Acc_x': 1.64, 'IMU_Acc_y': -0.58, 'IMU_Acc_z': 11.66}
{'Time': 14152, 'Left_wheel_dist': 2311, 'Right_wheel_dist': -2213, 'IMU_roll': 0.04, 'IMU_pitch': 0.18, 'IMU_yaw': 1.76, 'IMU_Acc_x': 1.93, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.02}
{'Time': 14249, 'Left_wheel_dist': 2357, 'Right_wheel_dist': -2261, 'IMU_roll': 0.04, 'IMU_pitch': 0.18, 'IMU_yaw': 1.93, 'IMU_Acc_x': 1.86, 'IMU_Acc_y': 0.61, 'IMU_Acc_z': 9.99}
{'Time': 14345, 'Left_wheel_dist': 2402, 'Right_wheel_dist': -2315, 'IMU_roll': 0.03, 'IMU_pitch': 0.19, 'IMU_yaw': 2.09, 'IMU_Acc_x': 2.11, 'IMU_Acc_y': -0.52, 'IMU_Acc_z': 11.73}
{'Time': 14451, 'Left_wheel_dist': 2453, 'Right_wheel_dist': -2372, 'IMU_roll': 0.04, 'IMU_pitch': 0.18, 'IMU_yaw': 2.26, 'IMU_Acc_x': 1.72, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 10.80}
{'Time': 14548, 'Left_wheel_dist': 2503, 'Right_wheel_dist': -2420, 'IMU_roll': 0.06, 'IMU_pitch': 0.17, 'IMU_yaw': 2.42, 'IMU_Acc_x': 1.65, 'IMU_Acc_y': 0.55, 'IMU_Acc_z': 9.42}
{'Time': 14645, 'Left_wheel_dist': 2549, 'Right_wheel_dist': -2464, 'IMU_roll': 0.04, 'IMU_pitch': 0.17, 'IMU_yaw': 2.58, 'IMU_Acc_x': 1.68, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 10.17}
{'Time': 14751, 'Left_wheel_dist': 2603, 'Right_wheel_dist': -2518, 'IMU_roll': 0.04, 'IMU_pitch': 0.15, 'IMU_yaw': 2.78, 'IMU_Acc_x': 1.48, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 10.77}
{'Time': 14848, 'Left_wheel_dist': 2649, 'Right_wheel_dist': -2566, 'IMU_roll': 0.05, 'IMU_pitch': 0.16, 'IMU_yaw': 2.96, 'IMU_Acc_x': 1.64, 'IMU_Acc_y': 0.67, 'IMU_Acc_z': 9.20}
{'Time': 14954, 'Left_wheel_dist': 2706, 'Right_wheel_dist': -2616, 'IMU_roll': 0.05, 'IMU_pitch': 0.14, 'IMU_yaw': 3.13, 'IMU_Acc_x': 1.30, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 11.22}
{'Time': 15051, 'Left_wheel_dist': 2749, 'Right_wheel_dist': -2660, 'IMU_roll': 0.08, 'IMU_pitch': 0.14, 'IMU_yaw': 3.30, 'IMU_Acc_x': 1.67, 'IMU_Acc_y': 1.36, 'IMU_Acc_z': 8.49}
{'Time': 15149, 'Left_wheel_dist': 2799, 'Right_wheel_dist': -2710, 'IMU_roll': 0.06, 'IMU_pitch': 0.12, 'IMU_yaw': 3.45, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': 0.47, 'IMU_Acc_z': 11.01}
{'Time': 15246, 'Left_wheel_dist': 2847, 'Right_wheel_dist': -2760, 'IMU_roll': 0.05, 'IMU_pitch': 0.12, 'IMU_yaw': 3.60, 'IMU_Acc_x': 1.00, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 11.76}
{'Time': 15352, 'Left_wheel_dist': 2904, 'Right_wheel_dist': -2806, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 3.77, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 12.43}
