Fri Jul 31 19:32:53 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 9651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 0.72, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 9.73}
{'Time': 9747, 'Left_wheel_dist': -21, 'Right_wheel_dist': 17, 'IMU_roll': -0.07, 'IMU_pitch': -0.05, 'IMU_yaw': 0.71, 'IMU_Acc_x': -2.51, 'IMU_Acc_y': -0.71, 'IMU_Acc_z': 3.92}
{'Time': 9844, 'Left_wheel_dist': -56, 'Right_wheel_dist': 47, 'IMU_roll': -0.07, 'IMU_pitch': -0.04, 'IMU_yaw': 0.69, 'IMU_Acc_x': -0.60, 'IMU_Acc_y': -1.32, 'IMU_Acc_z': 5.94}
{'Time': 9951, 'Left_wheel_dist': -106, 'Right_wheel_dist': 93, 'IMU_roll': -0.06, 'IMU_pitch': -0.03, 'IMU_yaw': 0.68, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 13.11}
{'Time': 10048, 'Left_wheel_dist': -150, 'Right_wheel_dist': 139, 'IMU_roll': -0.07, 'IMU_pitch': -0.02, 'IMU_yaw': 0.67, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 8.49}
{'Time': 10145, 'Left_wheel_dist': -200, 'Right_wheel_dist': 189, 'IMU_roll': -0.07, 'IMU_pitch': -0.02, 'IMU_yaw': 0.66, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': -0.69, 'IMU_Acc_z': 12.59}
{'Time': 10251, 'Left_wheel_dist': -255, 'Right_wheel_dist': 244, 'IMU_roll': -0.07, 'IMU_pitch': -0.01, 'IMU_yaw': 0.64, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 4.38}
{'Time': 10347, 'Left_wheel_dist': -307, 'Right_wheel_dist': 290, 'IMU_roll': -0.07, 'IMU_pitch': 0.00, 'IMU_yaw': 0.63, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.38}
{'Time': 10445, 'Left_wheel_dist': -359, 'Right_wheel_dist': 337, 'IMU_roll': -0.06, 'IMU_pitch': 0.00, 'IMU_yaw': 0.62, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.46, 'IMU_Acc_z': 13.31}
{'Time': 10551, 'Left_wheel_dist': -416, 'Right_wheel_dist': 396, 'IMU_roll': -0.06, 'IMU_pitch': 0.01, 'IMU_yaw': 0.62, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': -0.67, 'IMU_Acc_z': 6.31}
{'Time': 10648, 'Left_wheel_dist': -473, 'Right_wheel_dist': 449, 'IMU_roll': -0.05, 'IMU_pitch': 0.01, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.56, 'IMU_Acc_z': 12.98}
{'Time': 10745, 'Left_wheel_dist': -523, 'Right_wheel_dist': 499, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.60, 'IMU_Acc_z': 8.89}
{'Time': 10851, 'Left_wheel_dist': -580, 'Right_wheel_dist': 558, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 0.60, 'IMU_Acc_x': -0.29, 'IMU_Acc_y': -0.61, 'IMU_Acc_z': 10.51}
{'Time': 10947, 'Left_wheel_dist': -628, 'Right_wheel_dist': 614, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.65, 'IMU_Acc_z': 6.39}
{'Time': 11054, 'Left_wheel_dist': -684, 'Right_wheel_dist': 671, 'IMU_roll': -0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.80, 'IMU_Acc_y': -0.39, 'IMU_Acc_z': 13.61}
{'Time': 11150, 'Left_wheel_dist': -732, 'Right_wheel_dist': 719, 'IMU_roll': -0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 8.97}
{'Time': 11247, 'Left_wheel_dist': -785, 'Right_wheel_dist': 776, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.58}
{'Time': 11354, 'Left_wheel_dist': -839, 'Right_wheel_dist': 835, 'IMU_roll': -0.06, 'IMU_pitch': 0.03, 'IMU_yaw': 0.60, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.51, 'IMU_Acc_z': 6.57}
{'Time': 11449, 'Left_wheel_dist': -891, 'Right_wheel_dist': 887, 'IMU_roll': -0.06, 'IMU_pitch': 0.03, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 15.57}
{'Time': 11548, 'Left_wheel_dist': -939, 'Right_wheel_dist': 944, 'IMU_roll': -0.06, 'IMU_pitch': 0.03, 'IMU_yaw': 0.61, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -0.32, 'IMU_Acc_z': 10.31}
